GeneA_ID,GeneA_Name,GeneB_ID,GeneB_Name,ConfidenceScore,Source
ENSG00000129152.4,MYOD1,ENSG00000128645.15,HOXD1,155,STRING
ENSG00000129152.4,MYOD1,ENSG00000155657.29,TTN,498,STRING
ENSG00000129152.4,MYOD1,ENSG00000138379.5,MSTN,841,STRING
ENSG00000129152.4,MYOD1,ENSG00000204217.16,BMPR2,151,STRING
ENSG00000129152.4,MYOD1,ENSG00000138413.14,IDH1,158,STRING
ENSG00000129152.4,MYOD1,ENSG00000168530.16,MYL1,632,STRING
ENSG00000129152.4,MYOD1,ENSG00000115457.10,IGFBP2,324,STRING
ENSG00000129152.4,MYOD1,ENSG00000115596.4,WNT6,267,STRING
ENSG00000129152.4,MYOD1,ENSG00000135925.9,WNT10A,160,STRING
ENSG00000129152.4,MYOD1,ENSG00000163501.7,IHH,237,STRING
ENSG00000129152.4,MYOD1,ENSG00000169047.6,IRS1,355,STRING
ENSG00000129152.4,MYOD1,ENSG00000135902.10,CHRND,451,STRING
ENSG00000129152.4,MYOD1,ENSG00000168505.7,GBX2,222,STRING
ENSG00000129152.4,MYOD1,ENSG00000168427.9,KLHL30,188,STRING
ENSG00000129152.4,MYOD1,ENSG00000063660.9,GPC1,185,STRING
ENSG00000129152.4,MYOD1,ENSG00000114026.22,OGG1,276,STRING
ENSG00000129152.4,MYOD1,ENSG00000197548.13,ATG7,196,STRING
ENSG00000129152.4,MYOD1,ENSG00000144713.13,RPL32,164,STRING
ENSG00000129152.4,MYOD1,ENSG00000154764.6,WNT7A,396,STRING
ENSG00000129152.4,MYOD1,ENSG00000114166.8,KAT2B,972,STRING
ENSG00000129152.4,MYOD1,ENSG00000151090.20,THRB,200,STRING
ENSG00000129152.4,MYOD1,ENSG00000163513.20,TGFBR2,206,STRING
ENSG00000129152.4,MYOD1,ENSG00000114739.14,ACVR2B,488,STRING
ENSG00000129152.4,MYOD1,ENSG00000168036.19,CTNNB1,660,STRING
ENSG00000129152.4,MYOD1,ENSG00000187094.12,CCK,305,STRING
ENSG00000129152.4,MYOD1,ENSG00000241186.10,CRIPTO,206,STRING
ENSG00000129152.4,MYOD1,ENSG00000160808.13,MYL3,331,STRING
ENSG00000129152.4,MYOD1,ENSG00000181555.22,SETD2,150,STRING
ENSG00000129152.4,MYOD1,ENSG00000172046.21,USP19,171,STRING
ENSG00000129152.4,MYOD1,ENSG00000114737.16,CISH,180,STRING
ENSG00000129152.4,MYOD1,ENSG00000272573.6,MUSTN1,231,STRING
ENSG00000129152.4,MYOD1,ENSG00000114251.15,WNT5A,323,STRING
ENSG00000129152.4,MYOD1,ENSG00000187098.18,MITF,253,STRING
ENSG00000129152.4,MYOD1,ENSG00000285708.1,,171,STRING
ENSG00000129152.4,MYOD1,ENSG00000170017.12,ALCAM,214,STRING
ENSG00000129152.4,MYOD1,ENSG00000144821.11,MYH15,258,STRING
ENSG00000129152.4,MYOD1,ENSG00000172020.13,GAP43,176,STRING
ENSG00000129152.4,MYOD1,ENSG00000082701.17,GSK3B,370,STRING
ENSG00000129152.4,MYOD1,ENSG00000186103.5,ARGFX,159,STRING
ENSG00000129152.4,MYOD1,ENSG00000163833.8,FBXO40,268,STRING
ENSG00000129152.4,MYOD1,ENSG00000169714.17,CNBP,213,STRING
ENSG00000129152.4,MYOD1,ENSG00000183770.7,FOXL2,150,STRING
ENSG00000129152.4,MYOD1,ENSG00000144935.17,TRPC1,224,STRING
ENSG00000129152.4,MYOD1,ENSG00000196549.13,MME,285,STRING
ENSG00000129152.4,MYOD1,ENSG00000168779.21,SHOX2,169,STRING
ENSG00000129152.4,MYOD1,ENSG00000121853.4,GHSR,206,STRING
ENSG00000129152.4,MYOD1,ENSG00000121879.6,PIK3CA,193,STRING
ENSG00000129152.4,MYOD1,ENSG00000171109.19,MFN1,209,STRING
ENSG00000129152.4,MYOD1,ENSG00000073792.16,IGF2BP2,262,STRING
ENSG00000129152.4,MYOD1,ENSG00000114315.4,HES1,219,STRING
ENSG00000129152.4,MYOD1,ENSG00000215375.7,MYL5,256,STRING
ENSG00000129152.4,MYOD1,ENSG00000235608.2,NKX1-1,265,STRING
ENSG00000129152.4,MYOD1,ENSG00000068078.20,FGFR3,193,STRING
ENSG00000129152.4,MYOD1,ENSG00000215612.8,HMX1,183,STRING
ENSG00000129152.4,MYOD1,ENSG00000007062.12,PROM1,228,STRING
ENSG00000129152.4,MYOD1,ENSG00000168214.22,RBPJ,376,STRING
ENSG00000129152.4,MYOD1,ENSG00000154277.13,UCHL1,152,STRING
ENSG00000129152.4,MYOD1,ENSG00000109132.7,PHOX2B,183,STRING
ENSG00000129152.4,MYOD1,ENSG00000177752.15,YIPF7,166,STRING
