Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"GAPDH","Glyceraldehyde-3-Phosphate Dehydrogenase","Protein Coding","P04406","64","GC12P080272","6.02499771118164","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAPDH"
"B2M","Beta-2-Microglobulin","Protein Coding","P61769","62","GC15P044711","3.96309232711792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=B2M"
"HPRT1","Hypoxanthine Phosphoribosyltransferase 1","Protein Coding","P00492","60","GC0XP134460","3.54701328277588","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HPRT1"
"SURF4","Surfeit 4","Protein Coding","O15260","50","GC09M133361","2.60642576217651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SURF4"
"TBP","TATA-Box Binding Protein","Protein Coding","P20226","62","GC06P170554","2.57156896591187","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBP"
"RPS15","Ribosomal Protein S15","Protein Coding","P62841","50","GC19P001438","2.54253149032593","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS15"
"POLR2A","RNA Polymerase II Subunit A","Protein Coding","P24928","58","GC17P164142","2.52885103225708","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR2A"
"PGK1","Phosphoglycerate Kinase 1","Protein Coding","P00558","62","GC0XP078278","2.43502140045166","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGK1"
"POLR2B","RNA Polymerase II Subunit B","Protein Coding","P30876","55","GC04P056977","2.36585259437561","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR2B"
"DNMT3L","DNA Methyltransferase 3 Like","Protein Coding","Q9UJW3","54","GC21M044246","2.36585259437561","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNMT3L"
"TFRC","Transferrin Receptor","Protein Coding","P02786","63","GC03M196827","2.31883811950684","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFRC"
"ALDOB","Aldolase, Fructose-Bisphosphate B","Protein Coding","P05062","59","GC09M101420","2.28042888641357","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDOB"
"PCSK7","Proprotein Convertase Subtilisin/Kexin Type 7","Protein Coding","Q16549","56","GC11M143792","2.28042888641357","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCSK7"
"ENDOG","Endonuclease G","Protein Coding","Q14249","56","GC09P128818","2.21653461456299","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENDOG"
"ACTG1","Actin Gamma 1","Protein Coding","P63261","60","GC17M081509","2.08277320861816","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTG1"
"PPIA","Peptidylprolyl Isomerase A","Protein Coding","P62937","59","GC07P045600","2.02835607528687","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPIA"
"SDHA","Succinate Dehydrogenase Complex Flavoprotein Subunit A","Protein Coding","P31040","61","GC05P000254","1.99858009815216","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHA"
"GUSB","Glucuronidase Beta","Protein Coding","P08236","62","GC07M065960","1.93180227279663","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GUSB"
"TUBA1B","Tubulin Alpha 1b","Protein Coding","P68363","57","GC12M049127","1.93180227279663","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBA1B"
"TFAM","Transcription Factor A, Mitochondrial","Protein Coding","Q00059","57","GC10P058385","1.91957521438599","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFAM"
"PRPS2","Phosphoribosyl Pyrophosphate Synthetase 2","Protein Coding","P11908","54","GC0XP012791","1.91957521438599","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPS2"
"SSBP1","Single Stranded DNA Binding Protein 1","Protein Coding","Q04837","53","GC07P170124","1.91957521438599","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SSBP1"
"CERNA3","Competing Endogenous LncRNA 3 For MiR-645","RNA Gene","","20","GC08P056502","1.89332365989685","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CERNA3"
"S100A8","S100 Calcium Binding Protein A8","Protein Coding","P05109","55","GC01M168551","1.84964835643768","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A8"
"HMBS","Hydroxymethylbilane Synthase","Protein Coding","P08397","57","GC11P119084","1.83721840381622","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMBS"
"SDHB","Succinate Dehydrogenase Complex Iron Sulfur Subunit B","Protein Coding","P21912","61","GC01M036334","1.7978413105011","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHB"
"PUM1","Pumilio RNA Binding Family Member 1","Protein Coding","Q14671","54","GC01M030931","1.7978413105011","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PUM1"
"RPL32","Ribosomal Protein L32","Protein Coding","P62910","52","GC03M012834","1.56929647922516","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL32"
"PRPS1","Phosphoribosyl Pyrophosphate Synthetase 1","Protein Coding","P60891","59","GC0XP107628","1.56732678413391","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPS1"
"PRPS1L1","Phosphoribosyl Pyrophosphate Synthetase 1 Like 1","Protein Coding","P21108","47","GC07M018026","1.56732678413391","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPS1L1"
"HBS1L","HBS1 Like Translational GTPase","Protein Coding","Q9Y450","52","GC06M134960","1.43426418304443","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HBS1L"
"TNF","Tumor Necrosis Factor","Protein Coding","P01375","63","GC06P190708","1.39058887958527","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"SNORD44","Small Nucleolar RNA, C/D Box 44","RNA Gene","","19","GC01M175208","1.39058887958527","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD44"
"TRA-TGC7-1","TRNA-Ala (Anticodon TGC) 7-1","RNA Gene","","14","GC06M111328","1.39058887958527","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRA-TGC7-1"
"IFNG","Interferon Gamma","Protein Coding","P01579","63","GC12M068154","1.33878183364868","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG"
"UGDH","UDP-Glucose 6-Dehydrogenase","Protein Coding","O60701","57","GC04M039502","1.33878183364868","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGDH"
"IDH1","Isocitrate Dehydrogenase (NADP(+)) 1","Protein Coding","O75874","65","GC02M208236","1.27126574516296","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDH1"
"MDH2","Malate Dehydrogenase 2","Protein Coding","P40926","60","GC07P076048","1.27126574516296","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDH2"
"CS","Citrate Synthase","Protein Coding","O75390","58","GC12M056271","1.27126574516296","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CS"
"ATP5F1B","ATP Synthase F1 Subunit Beta","Protein Coding","P06576","57","GC12M060685","1.27126574516296","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP5F1B"
"RALBP1","RalA Binding Protein 1","Protein Coding","Q15311","56","GC18P009465","1.27126574516296","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RALBP1"
"RPL18","Ribosomal Protein L18","Protein Coding","Q07020","55","GC19M048615","1.27126574516296","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL18"
"RPL4","Ribosomal Protein L4","Protein Coding","P36578","53","GC15M066498","1.27126574516296","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL4"
"TRAPPC2L","Trafficking Protein Particle Complex Subunit 2L","Protein Coding","Q9UL33","49","GC16P088856","1.27126574516296","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAPPC2L"
"SURF1","SURF1 Cytochrome C Oxidase Assembly Factor","Protein Coding","Q15526","55","GC09M133351","0.609884262084961","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SURF1"
"SP1","Sp1 Transcription Factor","Protein Coding","P08047","60","GC12P053380","0.587699174880981","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SP1"
"NPAT","Nuclear Protein, Coactivator Of Histone Transcription","Protein Coding","Q14207","47","GC11M143671","0.515446305274963","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPAT"
"POU2F1","POU Class 2 Homeobox 1","Protein Coding","P14859","55","GC01P180525","0.488995313644409","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POU2F1"
"ST7-OT3","ST7 Overlapping Transcript 3","RNA Gene","","20","GC07P117498","0.461029171943665","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ST7-OT3"
"TP53","Tumor Protein P53","Protein Coding","P04637","66","GC17M007661","0.431253284215927","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"YY1","YY1 Transcription Factor","Protein Coding","P25490","60","GC14P100238","0.431253284215927","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YY1"
"RPL13A","Ribosomal Protein L13a","Protein Coding","P40429","55","GC19P049487","0.431253284215927","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL13A"
"HMGN1","High Mobility Group Nucleosome Binding Domain 1","Protein Coding","P05114","52","GC21M039342","0.431253284215927","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGN1"
"MED22","Mediator Complex Subunit 22","Protein Coding","Q15528","46","GC09M133338","0.431253284215927","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MED22"
"SURF6","Surfeit 6","Protein Coding","O75683","40","GC09M133331","0.431253284215927","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SURF6"
"G6PD","Glucose-6-Phosphate Dehydrogenase","Protein Coding","P11413","62","GC0XM154630","0.399262964725494","https://www.genecards.org/cgi-bin/carddisp.pl?gene=G6PD"
"PNPO","Pyridoxamine 5'-Phosphate Oxidase","Protein Coding","Q9NVS9","59","GC17P047941","0.399262964725494","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNPO"
"TIMP2","TIMP Metallopeptidase Inhibitor 2","Protein Coding","P16035","54","GC17M078852","0.399262964725494","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMP2"
"SNORD15A","Small Nucleolar RNA, C/D Box 15A","RNA Gene","","24","GC11P075400","0.399262964725494","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD15A"
"APRT","Adenine Phosphoribosyltransferase","Protein Coding","P07741","59","GC16M088810","0.364475548267365","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APRT"
"EEF1A1","Eukaryotic Translation Elongation Factor 1 Alpha 1","Protein Coding","P68104","57","GC06M112131","0.364475548267365","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EEF1A1"
"UBC","Ubiquitin C","Protein Coding","P0CG48","56","GC12M124911","0.364475548267365","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBC"
"IPO8","Importin 8","Protein Coding","O15397","53","GC12M030628","0.364475548267365","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IPO8"
"HMGN2","High Mobility Group Nucleosomal Binding Domain 2","Protein Coding","P05204","49","GC01P084395","0.364475548267365","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGN2"
"BDNF-AS","BDNF Antisense RNA","RNA Gene","","30","GC11P027466","0.364475548267365","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF-AS"
"TRN-GTT2-1","TRNA-Asn (Anticodon GTT) 2-1","RNA Gene","","13","GC01P179640","0.364475548267365","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRN-GTT2-1"
"ESR1","Estrogen Receptor 1","Protein Coding","P03372","68","GC06P151656","0.325996845960617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR1"
"INSR","Insulin Receptor","Protein Coding","P06213","66","GC19M007112","0.325996845960617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INSR"
"ACAT1","Acetyl-CoA Acetyltransferase 1","Protein Coding","P24752","63","GC11P116279","0.325996845960617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAT1"
"IL6","Interleukin 6","Protein Coding","P05231","63","GC07P022725","0.325996845960617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"PTGS2","Prostaglandin-Endoperoxide Synthase 2","Protein Coding","P35354","63","GC01M186671","0.325996845960617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGS2"
"GCK","Glucokinase","Protein Coding","P35557","62","GC07M045798","0.325996845960617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCK"
"RB1","RB Transcriptional Corepressor 1","Protein Coding","P06400","62","GC13P048303","0.325996845960617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RB1"
"RXRA","Retinoid X Receptor Alpha","Protein Coding","P19793","62","GC09P134317","0.325996845960617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RXRA"
"ETS1","ETS Proto-Oncogene 1, Transcription Factor","Protein Coding","P14921","61","GC11M128458","0.325996845960617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ETS1"
"OAT","Ornithine Aminotransferase","Protein Coding","P04181","60","GC10M124397","0.325996845960617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OAT"
"TFAP2A","Transcription Factor AP-2 Alpha","Protein Coding","P05549","60","GC06M010393","0.325996845960617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFAP2A"
"ASNS","Asparagine Synthetase (Glutamine-Hydrolyzing)","Protein Coding","P08243","59","GC07M097854","0.325996845960617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASNS"
"CXCL12","C-X-C Motif Chemokine Ligand 12","Protein Coding","P48061","59","GC10M044370","0.325996845960617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL12"
"NR1H2","Nuclear Receptor Subfamily 1 Group H Member 2","Protein Coding","P55055","59","GC19P050329","0.325996845960617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1H2"
"PPP5C","Protein Phosphatase 5 Catalytic Subunit","Protein Coding","P53041","58","GC19P162299","0.325996845960617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP5C"
"ARF1","ARF GTPase 1","Protein Coding","P84077","57","GC01P228082","0.325996845960617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARF1"
"IGFBP2","Insulin Like Growth Factor Binding Protein 2","Protein Coding","P18065","57","GC02P216632","0.325996845960617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP2"
"CST3","Cystatin C","Protein Coding","P01034","56","GC20M024240","0.325996845960617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CST3"
"PPP2CB","Protein Phosphatase 2 Catalytic Subunit Beta","Protein Coding","P62714","56","GC08M031090","0.325996845960617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP2CB"
"GGH","Gamma-Glutamyl Hydrolase","Protein Coding","Q92820","55","GC08M063014","0.325996845960617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GGH"
"YARS1","Tyrosyl-TRNA Synthetase 1","Protein Coding","P54577","55","GC01M037569","0.325996845960617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YARS1"
"RPL7A","Ribosomal Protein L7a","Protein Coding","P62424","53","GC09P133348","0.325996845960617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL7A"
"SKIC2","SKI2 Subunit Of Superkiller Complex","Protein Coding","Q15477","53","GC06P199266","0.325996845960617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SKIC2"
"ARF3","ARF GTPase 3","Protein Coding","P61204","52","GC12M052523","0.325996845960617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARF3"
"NIPSNAP1","Nipsnap Homolog 1","Protein Coding","Q9BPW8","49","GC22M029554","0.325996845960617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NIPSNAP1"
"NIPSNAP2","Nipsnap Homolog 2","Protein Coding","O75323","49","GC07P061968","0.325996845960617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NIPSNAP2"
"WHR1","Winged Helix Repair Factor 1","Protein Coding","P49842","47","GC06P031971","0.325996845960617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WHR1"
"APMAP","Adipocyte Plasma Membrane Associated Protein","Protein Coding","Q9HDC9","45","GC20M024962","0.325996845960617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APMAP"
"H19","H19 Imprinted Maternally Expressed Transcript","RNA Gene","","36","GC11M001995","0.325996845960617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19"
"ACTB","Actin Beta","Protein Coding","P60709","63","GC07M005922","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTB"
"APP","Amyloid Beta Precursor Protein","Protein Coding","P05067","63","GC21M025880","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APP"
"CREB1","CAMP Responsive Element Binding Protein 1","Protein Coding","P16220","63","GC02P207529","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CREB1"
"PRKG1","Protein Kinase CGMP-Dependent 1","Protein Coding","Q13976","63","GC10P053881","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKG1"
"RARA","Retinoic Acid Receptor Alpha","Protein Coding","P10276","63","GC17P040309","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RARA"
"ALOX5","Arachidonate 5-Lipoxygenase","Protein Coding","P09917","62","GC10P045374","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALOX5"
"DDX3X","DEAD-Box Helicase 3 X-Linked","Protein Coding","O00571","62","GC0XP041333","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX3X"
"EXT1","Exostosin Glycosyltransferase 1","Protein Coding","Q16394","60","GC08M117798","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXT1"
"GALK1","Galactokinase 1","Protein Coding","P51570","60","GC17M075751","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GALK1"
"KDM6A","Lysine Demethylase 6A","Protein Coding","O15550","60","GC0XP044873","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDM6A"
"OGG1","8-Oxoguanine DNA Glycosylase","Protein Coding","O15527","60","GC03P028752","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OGG1"
"WT1","WT1 Transcription Factor","Protein Coding","P19544","60","GC11M032365","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WT1"
"ABCB4","ATP Binding Cassette Subfamily B Member 4","Protein Coding","P21439","59","GC07M087365","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB4"
"ACADM","Acyl-CoA Dehydrogenase Medium Chain","Protein Coding","P11310","59","GC01P075724","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACADM"
"ADRA1B","Adrenoceptor Alpha 1B","Protein Coding","P35368","59","GC05P161451","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRA1B"
"ERCC6","ERCC Excision Repair 6, Chromatin Remodeling Factor","Protein Coding","Q03468","59","GC10M049692","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERCC6"
"HNRNPA2B1","Heterogeneous Nuclear Ribonucleoprotein A2/B1","Protein Coding","P22626","59","GC07M026174","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPA2B1"
"IMPA1","Inositol Monophosphatase 1","Protein Coding","P29218","59","GC08M081656","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IMPA1"
"MYCN","MYCN Proto-Oncogene, BHLH Transcription Factor","Protein Coding","P04198","59","GC02P016028","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYCN"
"PLOD1","Procollagen-Lysine,2-Oxoglutarate 5-Dioxygenase 1","Protein Coding","Q02809","59","GC01P011934","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLOD1"
"SUMO1","Small Ubiquitin Like Modifier 1","Protein Coding","P63165","59","GC02M202206","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUMO1"
"BMP2","Bone Morphogenetic Protein 2","Protein Coding","P12643","58","GC20P006767","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP2"
"FDXR","Ferredoxin Reductase","Protein Coding","P22570","58","GC17M074862","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FDXR"
"HBB","Hemoglobin Subunit Beta","Protein Coding","P68871","58","GC11M015976","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HBB"
"ABCD3","ATP Binding Cassette Subfamily D Member 3","Protein Coding","P28288","57","GC01P094385","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCD3"
"BLMH","Bleomycin Hydrolase","Protein Coding","Q13867","57","GC17M030248","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BLMH"
"CD9","CD9 Molecule","Protein Coding","P21926","57","GC12P080245","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD9"
"CLPP","Caseinolytic Mitochondrial Matrix Peptidase Proteolytic Subunit","Protein Coding","Q16740","57","GC19P161153","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLPP"
"CYB5R3","Cytochrome B5 Reductase 3","Protein Coding","P00387","57","GC22M088458","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYB5R3"
"DNASE1","Deoxyribonuclease 1","Protein Coding","P24855","57","GC16P003611","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNASE1"
"EIF2B2","Eukaryotic Translation Initiation Factor 2B Subunit Beta","Protein Coding","P49770","57","GC14P075002","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF2B2"
"NRF1","Nuclear Respiratory Factor 1","Protein Coding","Q16656","57","GC07P129611","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRF1"
"ALAS1","5'-Aminolevulinate Synthase 1","Protein Coding","P13196","56","GC03P052198","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALAS1"
"ME2","Malic Enzyme 2","Protein Coding","P23368","56","GC18P050879","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ME2"
"PEX2","Peroxisomal Biogenesis Factor 2","Protein Coding","P28328","56","GC08M076980","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PEX2"
"M6PR","Mannose-6-Phosphate Receptor, Cation Dependent","Protein Coding","P20645","55","GC12M037016","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=M6PR"
"NR4A3","Nuclear Receptor Subfamily 4 Group A Member 3","Protein Coding","Q92570","55","GC09P099821","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR4A3"
"PRPF31","Pre-MRNA Processing Factor 31","Protein Coding","Q8WWY3","55","GC19P162657","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF31"
"RPS14","Ribosomal Protein S14","Protein Coding","P62263","55","GC05M150443","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS14"
"USF1","Upstream Transcription Factor 1","Protein Coding","P22415","55","GC01M161039","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USF1"
"GALR1","Galanin Receptor 1","Protein Coding","P47211","54","GC18P077952","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GALR1"
"IMPA2","Inositol Monophosphatase 2","Protein Coding","O14732","54","GC18P011981","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IMPA2"
"SLC30A9","Solute Carrier Family 30 Member 9","Protein Coding","Q6PML9","54","GC04P042004","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC30A9"
"CBX3","Chromobox 3","Protein Coding","Q13185","53","GC07P026201","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBX3"
"SNRPA","Small Nuclear Ribonucleoprotein Polypeptide A","Protein Coding","P09012","53","GC19P040750","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNRPA"
"SPN","Sialophorin","Protein Coding","P16150","53","GC16P029662","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPN"
"ARVCF","ARVCF Delta Catenin Family Member","Protein Coding","O00192","52","GC22M087904","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARVCF"
"DDX3Y","DEAD-Box Helicase 3 Y-Linked","Protein Coding","O15523","52","GC0YP012903","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX3Y"
"RBP1","Retinol Binding Protein 1","Protein Coding","P09455","52","GC03M139517","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBP1"
"ACOT12","Acyl-CoA Thioesterase 12","Protein Coding","Q8WYK0","49","GC05M082342","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACOT12"
"CST7","Cystatin F","Protein Coding","O76096","49","GC20P024949","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CST7"
"ECI1","Enoyl-CoA Delta Isomerase 1","Protein Coding","P42126","49","GC16M002239","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ECI1"
"GCFC2","GC-Rich Sequence DNA-Binding Factor 2","Protein Coding","P16383","47","GC02M075652","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCFC2"
"EIF1AY","Eukaryotic Translation Initiation Factor 1A Y-Linked","Protein Coding","O14602","44","GC0YP020590","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF1AY"
"CDY1","Chromodomain Y-Linked 1","Protein Coding","Q9Y6F8","42","GC0YP027954","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDY1"
"DXO","Decapping Exoribonuclease","Protein Coding","O77932","41","GC06M031969","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DXO"
"PLEKHJ1","Pleckstrin Homology Domain Containing J1","Protein Coding","Q9NW61","40","GC19M111587","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLEKHJ1"
"SS18L2","SS18 Like 2","Protein Coding","Q9UHA2","39","GC03P042581","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SS18L2"
"SAGE1","Sarcoma Antigen 1","Protein Coding","Q9NXZ1","38","GC0XP135889","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAGE1"
"CDY1B","Chromodomain Y-Linked 1B","Protein Coding","Q9Y6F8","35","GC0YM024047","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDY1B"
"MIR7-3HG","MIR7-3 Host Gene","RNA Gene","Q8N6C7","33","GC19P161104","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR7-3HG"
"VCY","Variable Charge Y-Linked","Protein Coding","O14598","33","GC0YM013986","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCY"
"TMSB4Y","Thymosin Beta 4 Y-Linked","Protein Coding","O14604","31","GC0YP013703","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMSB4Y"
"PRY","PTPN13 Like Y-Linked","RNA Gene","O14603","28","GC0YP022490","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRY"
"XKRY","XK Related, Y-Linked (Pseudogene)","Pseudogene","O14609","20","GC0YM017768","0.28232154250145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XKRY"
