GeneA_ID,GeneA_Name,GeneB_ID,GeneB_Name,ConfidenceScore,Source
ENSG00000116132.12,PRRX1,ENSG00000153071.15,DAB2,198,STRING
ENSG00000116132.12,PRRX1,ENSG00000134057.15,CCNB1,168,STRING
ENSG00000116132.12,PRRX1,ENSG00000131711.15,MAP1B,151,STRING
ENSG00000116132.12,PRRX1,ENSG00000251493.5,FOXD1,438,STRING
ENSG00000116132.12,PRRX1,ENSG00000164338.10,UTP15,300,STRING
ENSG00000116132.12,PRRX1,ENSG00000113296.14,THBS4,180,STRING
ENSG00000116132.12,PRRX1,ENSG00000145681.11,HAPLN1,160,STRING
ENSG00000116132.12,PRRX1,ENSG00000175745.15,NR2F1,290,STRING
ENSG00000116132.12,PRRX1,ENSG00000175471.20,MCTP1,153,STRING
ENSG00000116132.12,PRRX1,ENSG00000113083.15,LOX,501,STRING
ENSG00000116132.12,PRRX1,ENSG00000138829.14,FBN2,298,STRING
ENSG00000116132.12,PRRX1,ENSG00000081059.20,TCF7,166,STRING
ENSG00000116132.12,PRRX1,ENSG00000061492.12,WNT8A,301,STRING
ENSG00000116132.12,PRRX1,ENSG00000120738.8,EGR1,207,STRING
ENSG00000116132.12,PRRX1,ENSG00000249751.4,ECSCR,193,STRING
ENSG00000116132.12,PRRX1,ENSG00000113070.8,HBEGF,182,STRING
ENSG00000116132.12,PRRX1,ENSG00000113212.7,PCDHB7,170,STRING
ENSG00000116132.12,PRRX1,ENSG00000182578.14,CSF1R,175,STRING
ENSG00000116132.12,PRRX1,ENSG00000113140.11,SPARC,251,STRING
ENSG00000116132.12,PRRX1,ENSG00000170624.14,SGCD,324,STRING
ENSG00000116132.12,PRRX1,ENSG00000184347.16,SLIT3,177,STRING
ENSG00000116132.12,PRRX1,ENSG00000156427.8,FGF18,314,STRING
ENSG00000116132.12,PRRX1,ENSG00000037280.16,FLT4,154,STRING
ENSG00000116132.12,PRRX1,ENSG00000137273.6,FOXF2,352,STRING
ENSG00000116132.12,PRRX1,ENSG00000054598.9,FOXC1,365,STRING
ENSG00000116132.12,PRRX1,ENSG00000111837.12,MAK,321,STRING
ENSG00000116132.12,PRRX1,ENSG00000124766.7,SOX4,330,STRING
ENSG00000116132.12,PRRX1,ENSG00000204531.21,POU5F1,338,STRING
ENSG00000116132.12,PRRX1,ENSG00000204228.4,HSD17B8,167,STRING
ENSG00000116132.12,PRRX1,ENSG00000112658.8,SRF,578,STRING
ENSG00000116132.12,PRRX1,ENSG00000124813.23,RUNX2,377,STRING
ENSG00000116132.12,PRRX1,ENSG00000008196.13,TFAP2B,309,STRING
ENSG00000116132.12,PRRX1,ENSG00000112144.16,CILK1,321,STRING
ENSG00000116132.12,PRRX1,ENSG00000151917.18,BEND6,159,STRING
ENSG00000116132.12,PRRX1,ENSG00000111799.22,COL12A1,318,STRING
ENSG00000116132.12,PRRX1,ENSG00000146250.7,PRSS35,201,STRING
ENSG00000116132.12,PRRX1,ENSG00000184486.10,POU3F2,231,STRING
ENSG00000116132.12,PRRX1,ENSG00000057657.17,PRDM1,208,STRING
ENSG00000116132.12,PRRX1,ENSG00000272398.6,CD24,234,STRING
ENSG00000116132.12,PRRX1,ENSG00000112333.12,NR2E1,281,STRING
ENSG00000116132.12,PRRX1,ENSG00000118689.15,FOXO3,181,STRING
ENSG00000116132.12,PRRX1,ENSG00000146374.14,RSPO3,197,STRING
ENSG00000116132.12,PRRX1,ENSG00000196569.14,LAMA2,190,STRING
ENSG00000116132.12,PRRX1,ENSG00000118523.6,CCN2,256,STRING
ENSG00000116132.12,PRRX1,ENSG00000112319.21,EYA4,187,STRING
ENSG00000116132.12,PRRX1,ENSG00000091831.25,ESR1,196,STRING
ENSG00000116132.12,PRRX1,ENSG00000164458.10,TBXT,234,STRING
ENSG00000116132.12,PRRX1,ENSG00000186340.17,THBS2,425,STRING
ENSG00000116132.12,PRRX1,ENSG00000198719.9,DLL1,193,STRING
ENSG00000116132.12,PRRX1,ENSG00000122687.19,MRM2,317,STRING
ENSG00000116132.12,PRRX1,ENSG00000106003.14,LFNG,169,STRING
ENSG00000116132.12,PRRX1,ENSG00000164916.11,FOXK1,181,STRING
ENSG00000116132.12,PRRX1,ENSG00000215018.10,COL28A1,212,STRING
ENSG00000116132.12,PRRX1,ENSG00000006468.15,ETV1,251,STRING
ENSG00000116132.12,PRRX1,ENSG00000122691.13,TWIST1,794,STRING
ENSG00000116132.12,PRRX1,ENSG00000136244.12,IL6,204,STRING
ENSG00000116132.12,PRRX1,ENSG00000105996.7,HOXA2,168,STRING
ENSG00000116132.12,PRRX1,ENSG00000106006.6,HOXA6,222,STRING
ENSG00000116132.12,PRRX1,ENSG00000005073.6,HOXA11,190,STRING
ENSG00000116132.12,PRRX1,ENSG00000106031.9,HOXA13,374,STRING
ENSG00000116132.12,PRRX1,ENSG00000153814.13,JAZF1,205,STRING
ENSG00000116132.12,PRRX1,ENSG00000255690.3,TRIL,152,STRING
ENSG00000116132.12,PRRX1,ENSG00000122642.11,FKBP9,251,STRING
ENSG00000116132.12,PRRX1,ENSG00000164532.11,TBX20,308,STRING
ENSG00000116132.12,PRRX1,ENSG00000122641.11,INHBA,271,STRING
ENSG00000116132.12,PRRX1,ENSG00000106571.15,GLI3,323,STRING
ENSG00000116132.12,PRRX1,ENSG00000106624.11,AEBP1,390,STRING
ENSG00000116132.12,PRRX1,ENSG00000146674.16,IGFBP3,192,STRING
ENSG00000116132.12,PRRX1,ENSG00000146648.21,EGFR,266,STRING
ENSG00000116132.12,PRRX1,ENSG00000152926.17,ZNF117,152,STRING
ENSG00000116132.12,PRRX1,ENSG00000058091.17,CDK14,165,STRING
ENSG00000116132.12,PRRX1,ENSG00000157240.4,FZD1,334,STRING
ENSG00000116132.12,PRRX1,ENSG00000105880.7,DLX5,169,STRING
ENSG00000116132.12,PRRX1,ENSG00000106333.13,PCOLCE,366,STRING
ENSG00000116132.12,PRRX1,ENSG00000146839.19,ZAN,160,STRING
ENSG00000116132.12,PRRX1,ENSG00000128606.13,LRRC17,169,STRING
ENSG00000116132.12,PRRX1,ENSG00000105974.13,CAV1,355,STRING
ENSG00000116132.12,PRRX1,ENSG00000105976.16,MET,156,STRING
ENSG00000116132.12,PRRX1,ENSG00000105989.10,WNT2,243,STRING
ENSG00000116132.12,PRRX1,ENSG00000128602.11,SMO,206,STRING
ENSG00000116132.12,PRRX1,ENSG00000122786.20,CALD1,192,STRING
ENSG00000116132.12,PRRX1,ENSG00000189320.9,FAM180A,231,STRING
ENSG00000116132.12,PRRX1,ENSG00000278685.4,IQCA1L,151,STRING
ENSG00000116132.12,PRRX1,ENSG00000082014.17,SMARCD3,184,STRING
ENSG00000116132.12,PRRX1,ENSG00000164690.8,SHH,341,STRING
ENSG00000116132.12,PRRX1,ENSG00000136574.19,GATA4,308,STRING
ENSG00000116132.12,PRRX1,ENSG00000078579.9,FGF20,225,STRING
ENSG00000116132.12,PRRX1,ENSG00000104213.13,PDGFRL,331,STRING
ENSG00000116132.12,PRRX1,ENSG00000168546.11,GFRA2,169,STRING
ENSG00000116132.12,PRRX1,ENSG00000158815.11,FGF17,222,STRING
ENSG00000116132.12,PRRX1,ENSG00000179388.9,EGR3,189,STRING
ENSG00000116132.12,PRRX1,ENSG00000134013.16,LOXL2,265,STRING
ENSG00000116132.12,PRRX1,ENSG00000156687.11,UNC5D,163,STRING
ENSG00000116132.12,PRRX1,ENSG00000077782.23,FGFR1,250,STRING
ENSG00000116132.12,PRRX1,ENSG00000083168.11,KAT6A,441,STRING
ENSG00000116132.12,PRRX1,ENSG00000034239.11,CLXN,167,STRING
ENSG00000116132.12,PRRX1,ENSG00000147485.13,PXDNL,166,STRING
ENSG00000116132.12,PRRX1,ENSG00000164736.6,SOX17,262,STRING
ENSG00000116132.12,PRRX1,ENSG00000137573.14,SULF1,263,STRING
ENSG00000116132.12,PRRX1,ENSG00000091656.19,ZFHX4,235,STRING
ENSG00000116132.12,PRRX1,ENSG00000170323.9,FABP4,192,STRING
ENSG00000116132.12,PRRX1,ENSG00000079112.10,CDH17,263,STRING
ENSG00000116132.12,PRRX1,ENSG00000156466.11,GDF6,171,STRING
ENSG00000116132.12,PRRX1,ENSG00000164932.13,CTHRC1,286,STRING
ENSG00000116132.12,PRRX1,ENSG00000154188.10,ANGPT1,201,STRING
ENSG00000116132.12,PRRX1,ENSG00000104447.13,TRPS1,244,STRING
ENSG00000116132.12,PRRX1,ENSG00000164761.9,TNFRSF11B,240,STRING
ENSG00000116132.12,PRRX1,ENSG00000136960.13,ENPP2,154,STRING
ENSG00000116132.12,PRRX1,ENSG00000187955.13,COL14A1,294,STRING
ENSG00000116132.12,PRRX1,ENSG00000170961.7,HAS2,229,STRING
ENSG00000116132.12,PRRX1,ENSG00000165156.15,ZHX1,173,STRING
ENSG00000116132.12,PRRX1,ENSG00000169436.18,COL22A1,151,STRING
ENSG00000116132.12,PRRX1,ENSG00000096968.14,JAK2,188,STRING
ENSG00000116132.12,PRRX1,ENSG00000107186.17,MPDZ,159,STRING
ENSG00000116132.12,PRRX1,ENSG00000164985.15,PSIP1,583,STRING
ENSG00000116132.12,PRRX1,ENSG00000178031.18,ADAMTSL1,157,STRING
ENSG00000116132.12,PRRX1,ENSG00000147889.18,CDKN2A,179,STRING
ENSG00000116132.12,PRRX1,ENSG00000120156.22,TEK,233,STRING
ENSG00000116132.12,PRRX1,ENSG00000174038.13,SPATA31G1,278,STRING
ENSG00000116132.12,PRRX1,ENSG00000196196.3,HRCT1,210,STRING
ENSG00000116132.12,PRRX1,ENSG00000119138.5,KLF9,173,STRING
ENSG00000116132.12,PRRX1,ENSG00000107372.13,ZFAND5,176,STRING
ENSG00000116132.12,PRRX1,ENSG00000180447.7,GAS1,282,STRING
ENSG00000116132.12,PRRX1,ENSG00000106809.11,OGN,199,STRING
ENSG00000116132.12,PRRX1,ENSG00000127083.8,OMD,200,STRING
ENSG00000116132.12,PRRX1,ENSG00000106819.13,ASPN,338,STRING
ENSG00000116132.12,PRRX1,ENSG00000106823.13,ECM2,151,STRING
ENSG00000116132.12,PRRX1,ENSG00000131668.14,BARX1,264,STRING
ENSG00000116132.12,PRRX1,ENSG00000148120.19,AOPEP,483,STRING
ENSG00000116132.12,PRRX1,ENSG00000204291.12,COL15A1,187,STRING
ENSG00000116132.12,PRRX1,ENSG00000106799.15,TGFBR1,292,STRING
ENSG00000116132.12,PRRX1,ENSG00000023318.9,ERP44,150,STRING
ENSG00000116132.12,PRRX1,ENSG00000165124.19,SVEP1,176,STRING
ENSG00000116132.12,PRRX1,ENSG00000198121.15,LPAR1,178,STRING
ENSG00000116132.12,PRRX1,ENSG00000196739.15,COL27A1,150,STRING
ENSG00000116132.12,PRRX1,ENSG00000041982.17,TNC,226,STRING
ENSG00000116132.12,PRRX1,ENSG00000136859.10,ANGPTL2,266,STRING
ENSG00000116132.12,PRRX1,ENSG00000106991.15,ENG,236,STRING
ENSG00000116132.12,PRRX1,ENSG00000167157.11,PRRX2,227,STRING
ENSG00000116132.12,PRRX1,ENSG00000126883.19,NUP214,377,STRING
ENSG00000116132.12,PRRX1,ENSG00000186350.12,RXRA,166,STRING
ENSG00000116132.12,PRRX1,ENSG00000130635.17,COL5A1,367,STRING
ENSG00000116132.12,PRRX1,ENSG00000148400.13,NOTCH1,234,STRING
ENSG00000116132.12,PRRX1,ENSG00000269897.5,COMMD3-BMI1,192,STRING
ENSG00000116132.12,PRRX1,ENSG00000168267.7,PTF1A,230,STRING
ENSG00000116132.12,PRRX1,ENSG00000150051.14,MKX,219,STRING
ENSG00000116132.12,PRRX1,ENSG00000150093.20,ITGB1,184,STRING
ENSG00000116132.12,PRRX1,ENSG00000177283.8,FZD8,154,STRING
ENSG00000116132.12,PRRX1,ENSG00000107562.18,CXCL12,397,STRING
ENSG00000116132.12,PRRX1,ENSG00000274209.7,ANTXRL,153,STRING
ENSG00000116132.12,PRRX1,ENSG00000266524.3,GDF10,219,STRING
ENSG00000116132.12,PRRX1,ENSG00000150347.17,ARID5B,323,STRING
ENSG00000116132.12,PRRX1,ENSG00000138347.17,MYPN,158,STRING
ENSG00000116132.12,PRRX1,ENSG00000197467.17,COL13A1,151,STRING
ENSG00000116132.12,PRRX1,ENSG00000107779.16,BMPR1A,218,STRING
ENSG00000116132.12,PRRX1,ENSG00000171862.16,PTEN,195,STRING
ENSG00000116132.12,PRRX1,ENSG00000107796.14,ACTA2,397,STRING
ENSG00000116132.12,PRRX1,ENSG00000165841.11,CYP2C19,186,STRING
ENSG00000116132.12,PRRX1,ENSG00000119919.12,NKX2-3,179,STRING
ENSG00000116132.12,PRRX1,ENSG00000075891.24,PAX2,186,STRING
ENSG00000116132.12,PRRX1,ENSG00000107815.10,TWNK,163,STRING
ENSG00000116132.12,PRRX1,ENSG00000107807.13,TLX1,191,STRING
ENSG00000116132.12,PRRX1,ENSG00000107831.14,FGF8,550,STRING
ENSG00000116132.12,PRRX1,ENSG00000107954.11,NEURL1,368,STRING
ENSG00000116132.12,PRRX1,ENSG00000107957.17,SH3PXD2A,219,STRING
ENSG00000116132.12,PRRX1,ENSG00000148700.15,ADD3,497,STRING
ENSG00000116132.12,PRRX1,ENSG00000170370.12,EMX2,156,STRING
ENSG00000116132.12,PRRX1,ENSG00000066468.24,FGFR2,199,STRING
ENSG00000116132.12,PRRX1,ENSG00000183734.5,ASCL2,197,STRING
ENSG00000116132.12,PRRX1,ENSG00000053918.20,KCNQ1,208,STRING
ENSG00000116132.12,PRRX1,ENSG00000110713.18,NUP98,842,STRING
ENSG00000116132.12,PRRX1,ENSG00000166341.9,DCHS1,188,STRING
ENSG00000116132.12,PRRX1,ENSG00000110693.19,SOX6,243,STRING
ENSG00000116132.12,PRRX1,ENSG00000166788.10,SAAL1,1000,HuRI
ENSG00000116132.12,PRRX1,ENSG00000176971.4,FIBIN,225,STRING
ENSG00000116132.12,PRRX1,ENSG00000131808.11,FSHB,161,STRING
ENSG00000116132.12,PRRX1,ENSG00000285283.1,,165,STRING
ENSG00000116132.12,PRRX1,ENSG00000026508.21,CD44,307,STRING
ENSG00000116132.12,PRRX1,ENSG00000255223.5,OR5M11,200,STRING
ENSG00000116132.12,PRRX1,ENSG00000168056.18,LTBP3,204,STRING
ENSG00000116132.12,PRRX1,ENSG00000174807.4,CD248,348,STRING
ENSG00000116132.12,PRRX1,ENSG00000174576.11,NPAS4,307,STRING
ENSG00000116132.12,PRRX1,ENSG00000162337.12,LRP5,161,STRING
ENSG00000116132.12,PRRX1,ENSG00000075388.4,FGF4,229,STRING
ENSG00000116132.12,PRRX1,ENSG00000186895.4,FGF3,204,STRING
ENSG00000116132.12,PRRX1,ENSG00000175538.11,KCNE3,165,STRING
ENSG00000116132.12,PRRX1,ENSG00000134640.3,MTNR1B,224,STRING
ENSG00000116132.12,PRRX1,ENSG00000165895.19,ARHGAP42,315,STRING
ENSG00000116132.12,PRRX1,ENSG00000137745.13,MMP13,232,STRING
ENSG00000116132.12,PRRX1,ENSG00000178105.12,DDX10,658,STRING
ENSG00000116132.12,PRRX1,ENSG00000149575.9,SCN2B,168,STRING
ENSG00000116132.12,PRRX1,ENSG00000076706.17,MCAM,324,STRING
ENSG00000116132.12,PRRX1,ENSG00000154096.14,THY1,361,STRING
ENSG00000116132.12,PRRX1,ENSG00000134954.14,ETS1,234,STRING
